DAY,Price,Cash,Shares,PortfolioValue,Action
0,2195.65,9840.50,0,9840.50,HOLD
1,2137.72,9840.50,0,9840.50,HOLD
2,2223.39,9840.50,0,9840.50,HOLD
3,2235.13,9840.50,0,9840.50,HOLD
4,2119.01,9840.50,0,9840.50,HOLD
5,2198.14,9840.50,0,9840.50,HOLD
6,2221.90,9840.50,0,9840.50,HOLD
7,2160.28,9840.50,0,9840.50,HOLD
8,1980.82,9840.50,0,9840.50,HOLD
9,2032.13,9840.50,0,9840.50,HOLD
10,1680.60,9840.50,0,9840.50,HOLD
11,1466.48,9840.50,0,9840.50,HOLD
12,1668.21,9840.50,0,9840.50,HOLD
13,1706.68,9840.50,0,9840.50,HOLD
14,1824.43,9840.50,0,9840.50,HOLD
15,1893.17,9840.50,0,9840.50,HOLD
16,1894.62,9840.50,0,9840.50,HOLD
17,1918.57,9840.50,0,9840.50,HOLD
18,1913.49,9840.50,0,9840.50,HOLD
19,1993.00,9840.50,0,9840.50,HOLD
20,2003.75,9840.50,0,9840.50,HOLD
21,2139.68,9840.50,0,9840.50,HOLD
22,2148.51,9840.50,0,9840.50,HOLD
23,2120.29,9840.50,0,9840.50,HOLD
24,2112.37,9840.50,0,9840.50,HOLD
25,2113.98,9840.50,0,9840.50,HOLD
26,2166.74,9840.50,0,9840.50,HOLD
27,2177.82,9840.50,0,9840.50,HOLD
28,2202.99,9840.50,0,9840.50,HOLD
29,2263.81,9840.50,0,9840.50,HOLD
30,2322.64,7517.86,1,9840.50,BUY
31,2412.49,9930.35,0,9930.35,SELL
32,2280.97,9930.35,0,9930.35,HOLD
33,2345.28,9930.35,0,9930.35,HOLD
34,2332.68,9930.35,0,9930.35,HOLD
35,2374.00,9930.35,0,9930.35,HOLD
36,2396.33,9930.35,0,9930.35,HOLD
37,2267.63,9930.35,0,9930.35,HOLD
38,2347.82,9930.35,0,9930.35,HOLD
39,2348.74,9930.35,0,9930.35,HOLD
40,2339.73,9930.35,0,9930.35,HOLD
41,2299.91,7630.44,1,9930.35,BUY
42,2370.85,10001.29,0,10001.29,SELL
43,2467.04,10001.29,0,10001.29,HOLD
44,2529.53,10001.29,0,10001.29,HOLD
45,2592.43,10001.29,0,10001.29,HOLD
46,2672.85,10001.29,0,10001.29,HOLD
47,2718.70,10001.29,0,10001.29,HOLD
48,2742.25,10001.29,0,10001.29,HOLD
49,2762.60,10001.29,0,10001.29,HOLD
50,2921.84,10001.29,0,10001.29,HOLD
51,3047.56,10001.29,0,10001.29,HOLD
